Participant #,Gender,Word,Rating,Consonant,Vowel,"""P""","""T""","""K"" "," ""M""","""N""","""L""","""E""","""I""","""O""","""U""",1=3
P17,M,tek,2,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P17,M,nol,2,Sonorant,Back,F,F,F,F,T,T,F,F,T,F,F
P17,M,kik,3,Plosive,Front,F,F,T,F,F,F,F,T,F,F,T
P17,M,lun,1,Sonorant,Back,F,F,F,F,T,T,F,F,F,T,F
P17,M,puk,2,Plosive,Back,T,F,T,F,F,F,F,F,F,T,F
P17,M,top,3,Plosive,Back,T,T,F,F,F,F,F,F,T,F,F
P18,M,pet,3,Plosive,Front,T,T,F,F,F,F,T,F,F,F,F
P18,M,mem,2,Sonorant,Front,F,F,F,T,F,F,T,F,F,F,T
P18,M,put,2,Plosive,Back,T,T,F,F,F,F,F,F,F,T,F
P18,M,lom,1,Sonorant,Back,F,F,F,T,F,T,F,F,T,F,F
P18,M,top,2,Plosive,Back,T,T,F,F,F,F,F,F,T,F,F
P18,M,kok,3,Plosive,Back,F,F,T,F,F,F,F,F,T,F,T
P18,M,lum,2,Sonorant,Back,F,F,F,T,F,T,F,F,F,T,F
P18,M,ket,1,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P18,M,kuk,1,Plosive,Back,F,F,T,F,F,F,F,F,F,T,T
P18,M,tep,0,Plosive,Front,T,T,F,F,F,F,T,F,F,F,F
P18,M,nun,2,Sonorant,Back,F,F,F,F,T,F,F,F,F,T,T
P18,M,nin,1,Sonorant,Front,F,F,F,F,T,F,F,T,F,F,T
P18,M,men,2,Sonorant,Front,F,F,F,T,T,F,T,F,F,F,F
P18,M,num,2,Sonorant,Back,F,F,F,T,T,F,F,F,F,T,F
P18,M,len,3,Sonorant,Front,F,F,F,F,T,T,T,F,F,F,F
P18,M,pit,1,Plosive,Front,T,T,F,F,F,F,F,T,F,F,F
P19,M,lom,1,Sonorant,Back,F,F,F,T,F,T,F,F,T,F,F
P19,M,nul,1,Sonorant,Back,F,F,F,F,T,T,F,F,F,T,F
P19,M,tit,3,Plosive,Front,F,T,F,F,F,F,F,T,F,F,T
P19,M,kop,1,Plosive,Back,T,F,T,F,F,F,F,F,T,F,F
P19,M,pot,1,Plosive,Back,T,T,F,F,F,F,F,F,T,F,F
P19,M,mem,1,Sonorant,Front,F,F,F,T,F,F,T,F,F,F,T
P19,M,lem,0,Sonorant,Front,F,F,F,T,F,T,T,F,F,F,F
P19,M,len,0,Sonorant,Front,F,F,F,F,T,T,T,F,F,F,F
P19,M,mum,2,Sonorant,Back,F,F,F,T,F,F,F,F,F,T,T
P19,M,pok,2,Plosive,Back,T,F,T,F,F,F,F,F,T,F,F
P19,M,lim,1,Sonorant,Front,F,F,F,T,F,T,F,T,F,F,F
P19,M,tek,3,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P19,M,kup,2,Plosive,Back,T,F,T,F,F,F,F,F,F,T,F
P19,M,mul,1,Sonorant,Back,F,F,F,T,F,T,F,F,F,T,F
P19,M,pip,3,Plosive,Front,T,F,F,F,F,F,F,T,F,F,T
P19,M,kip,3,Plosive,Front,T,F,T,F,F,F,F,T,F,F,F
P20,F,lol,1,Sonorant,Back,F,F,F,F,F,T,F,F,T,F,T
P20,F,lin,3,Sonorant,Front,F,F,F,F,T,T,F,T,F,F,F
P20,F,men,2,Sonorant,Front,F,F,F,T,T,F,T,F,F,F,F
P20,F,lon,1,Sonorant,Back,F,F,F,F,T,T,F,F,T,F,F
P20,F,lem,3,Sonorant,Front,F,F,F,T,F,T,T,F,F,F,F
P20,F,kuk,0,Plosive,Back,F,F,T,F,F,F,F,F,F,T,T
P20,F,ket,1,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P20,F,tuk,0,Plosive,Back,F,T,T,F,F,F,F,F,F,T,F
P20,F,kup,0,Plosive,Back,T,F,T,F,F,F,F,F,F,T,F
P20,F,tek,2,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P20,F,non,3,Sonorant,Back,F,F,F,F,T,F,F,F,T,F,T
P20,F,pet,3,Plosive,Front,T,T,F,F,F,F,T,F,F,F,F
P20,F,lom,3,Sonorant,Back,F,F,F,T,F,T,F,F,T,F,F
P20,F,kik,1,Plosive,Front,F,F,T,F,F,F,F,T,F,F,T
P20,F,min,1,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P20,F,put,3,Plosive,Back,T,T,F,F,F,F,F,F,F,T,F
P21,M,lim,2,Sonorant,Front,F,F,F,T,F,T,F,T,F,F,F
P21,M,nel,2,Sonorant,Front,F,F,F,F,T,T,T,F,F,F,F
P21,M,lol,1,Sonorant,Back,F,F,F,F,F,T,F,F,T,F,T
P21,M,kok,0,Plosive,Back,F,F,T,F,F,F,F,F,T,F,T
P21,M,lul,1,Sonorant,Back,F,F,F,F,F,T,F,F,F,T,T
P21,M,pit,2,Plosive,Front,T,T,F,F,F,F,F,T,F,F,F
P21,M,kep,3,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P21,M,nem,3,Sonorant,Front,F,F,F,T,T,F,T,F,F,F,F
P21,M,min,3,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P21,M,pup,0,Plosive,Back,T,F,F,F,F,F,F,F,F,T,T
P21,M,pok,1,Plosive,Back,T,F,T,F,F,F,F,F,T,F,F
P21,M,lon,2,Sonorant,Back,F,F,F,F,T,T,F,F,T,F,F
P21,M,nul,2,Sonorant,Back,F,F,F,F,T,T,F,F,F,T,F
P21,M,tet,3,Plosive,Front,F,T,F,F,F,F,T,F,F,F,T
P21,M,tip,2,Plosive,Front,T,T,F,F,F,F,F,T,F,F,F
P21,M,puk,1,Plosive,Back,T,F,T,F,F,F,F,F,F,T,F
P22,F,tit,2,Plosive,Front,F,T,F,F,F,F,F,T,F,F,T
P22,F,nen,1,Sonorant,Front,F,F,F,F,T,F,T,F,F,F,T
P22,F,men,3,Sonorant,Front,F,F,F,T,T,F,T,F,F,F,F
P22,F,lon,2,Sonorant,Back,F,F,F,F,T,T,F,F,T,F,F
P22,F,nol,3,Sonorant,Back,F,F,F,F,T,T,F,F,T,F,F
P22,F,tuk,1,Plosive,Back,F,T,T,F,F,F,F,F,F,T,F
P22,F,kit,3,Plosive,Front,F,T,T,F,F,F,F,T,F,F,F
P22,F,kop,2,Plosive,Back,T,F,T,F,F,F,F,F,T,F,F
P22,F,nin,3,Sonorant,Front,F,F,F,F,T,F,F,T,F,F,T
P22,F,tot,2,Plosive,Back,F,T,F,F,F,F,F,F,T,F,T
P22,F,lol,1,Sonorant,Back,F,F,F,F,F,T,F,F,T,F,T
P22,F,nem,1,Sonorant,Front,F,F,F,T,T,F,T,F,F,F,F
P22,F,mon,2,Sonorant,Back,F,F,F,T,T,F,F,F,T,F,F
P22,F,pup,3,Plosive,Back,T,F,F,F,F,F,F,F,F,T,T
P22,F,tik,3,Plosive,Front,F,T,T,F,F,F,F,T,F,F,F
P22,F,kek,2,Plosive,Front,F,F,T,F,F,F,T,F,F,F,T
P23,F,mun,2,Sonorant,Back,F,F,F,T,T,F,F,F,F,T,F
P23,F,nem,3,Sonorant,Front,F,F,F,T,T,F,T,F,F,F,F
P23,F,lon,1,Sonorant,Back,F,F,F,F,T,T,F,F,T,F,F
P23,F,tet,0,Plosive,Front,F,T,F,F,F,F,T,F,F,F,T
P23,F,pup,2,Plosive,Back,T,F,F,F,F,F,F,F,F,T,T
P23,F,len,3,Sonorant,Front,F,F,F,F,T,T,T,F,F,F,F
P23,F,nom,3,Sonorant,Back,F,F,F,T,T,F,F,F,T,F,F
P23,F,pet,3,Plosive,Front,T,T,F,F,F,F,T,F,F,F,F
P23,F,tek,1,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P23,F,lil,2,Sonorant,Front,F,F,F,F,F,T,F,T,F,F,T
P23,F,tup,1,Plosive,Back,T,T,F,F,F,F,F,F,F,T,F
P23,F,lun,2,Sonorant,Back,F,F,F,F,T,T,F,F,F,T,F
P23,F,nin,3,Sonorant,Front,F,F,F,F,T,F,F,T,F,F,T
P23,F,tut,1,Plosive,Back,F,T,F,F,F,F,F,F,F,T,T
P23,F,tip,1,Plosive,Front,T,T,F,F,F,F,F,T,F,F,F
P23,F,kot,1,Plosive,Back,F,T,T,F,F,F,F,F,T,F,F
P24,M,nil,0,Sonorant,Front,F,F,F,F,T,T,F,T,F,F,F
P24,M,non,1,Sonorant,Back,F,F,F,F,T,F,F,F,T,F,T
P24,M,lin,3,Sonorant,Front,F,F,F,F,T,T,F,T,F,F,F
P24,M,pek,2,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P24,M,nun,1,Sonorant,Back,F,F,F,F,T,F,F,F,F,T,T
P24,M,tup,3,Plosive,Back,T,T,F,F,F,F,F,F,F,T,F
P24,M,lel,1,Sonorant,Front,F,F,F,F,F,T,T,F,F,F,T
P24,M,num,2,Sonorant,Back,F,F,F,T,T,F,F,F,F,T,F
P24,M,kek,3,Plosive,Front,F,F,T,F,F,F,T,F,F,F,T
P24,M,tek,3,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P24,M,top,1,Plosive,Back,T,T,F,F,F,F,F,F,T,F,F
P24,M,tuk,2,Plosive,Back,F,T,T,F,F,F,F,F,F,T,F
P24,M,min,3,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P24,M,put,1,Plosive,Back,T,T,F,F,F,F,F,F,F,T,F
P24,M,kip,1,Plosive,Front,T,F,T,F,F,F,F,T,F,F,F
P24,M,nol,0,Sonorant,Back,F,F,F,F,T,T,F,F,T,F,F
P25,M,num,2,Sonorant,Back,F,F,F,T,T,F,F,F,F,T,F
P25,M,lul,1,Sonorant,Back,F,F,F,F,F,T,F,F,F,T,T
P25,M,kuk,0,Plosive,Back,F,F,T,F,F,F,F,F,F,T,T
P25,M,mel,1,Sonorant,Front,F,F,F,T,F,T,T,F,F,F,F
P25,M,nim,3,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P25,M,ket,2,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P25,M,kip,0,Plosive,Front,T,F,T,F,F,F,F,T,F,F,F
P25,M,pik,0,Plosive,Front,T,F,T,F,F,F,F,T,F,F,F
